name,Price_count,Price_mean,Price_median,Price_min,Price_max,Price_std,Bedrooms_mean,Bathrooms_mean,Square Footage_mean,Latitude_mean,Longitude_mean
Shaughnessy,54,5690714.81,6129000.0,568900.0,7998000.0,1990799.27,4.96,4.89,4581.09,49.25,-123.14
West Point Grey,82,4001537.88,3843500.0,568000.0,7950000.0,1806871.35,4.13,3.65,2731.77,49.26,-123.2
Dunbar-Southlands,137,3894745.47,3798000.0,899000.0,7980000.0,1527741.58,4.48,4.02,2920.12,49.24,-123.18
Kerrisdale,89,3525057.29,3363360.0,479000.0,7990000.0,1869885.62,3.84,3.64,2753.25,49.23,-123.15
Arbutus Ridge,80,3377842.16,3485000.0,479000.0,7988000.0,1938989.22,4.03,3.71,2649.08,49.25,-123.16
Oakridge,132,2618777.18,1858450.0,499000.0,7680000.0,1787435.26,3.55,3.35,2184.17,49.23,-123.12
South Cambie,101,2539607.91,1888000.0,644000.0,7800000.0,1897857.53,3.01,2.59,1674.65,49.25,-123.12
Riley Park,109,2112854.8,1938000.0,499900.0,5500000.0,1120392.33,2.97,2.45,1443.17,49.24,-123.11
Hastings-Sunrise,131,2068865.5,1798000.0,509000.0,5000000.0,875040.49,4.23,3.08,1915.15,49.27,-123.04
Kitsilano,121,2030904.73,1499000.0,549900.0,7750000.0,1398996.13,3.04,2.61,1676.4,49.27,-123.16
Victoria-Fraserview,73,1979497.23,1850000.0,554000.0,4380000.0,731827.46,4.56,3.26,2139.07,49.22,-123.06
Sunset,113,1968407.33,1828800.0,499000.0,4100000.0,951733.87,4.39,3.41,1867.28,49.22,-123.09
Renfrew-Collingwood,248,1909403.63,1738000.0,399800.0,5500000.0,1090531.15,3.83,2.53,1588.1,49.24,-123.04
Marpole,241,1759866.85,1388000.0,458800.0,7800000.0,1287938.38,2.78,2.49,1428.9,49.21,-123.13
Kensington-Cedar Cottage,161,1748859.25,1699000.0,499000.0,4600000.0,752836.66,3.73,2.76,1656.7,49.25,-123.07
West End,196,1588996.81,1249500.0,289900.0,6999900.0,1157879.26,1.76,1.76,1088.99,49.29,-123.13
Grandview-Woodland,100,1484740.92,1495400.0,479000.0,3500000.0,633225.54,3.1,2.51,1387.41,49.27,-123.07
Fairview,133,1394442.63,1228000.0,518800.0,4300000.0,709256.97,2.17,1.93,1247.53,49.26,-123.13
Mount Pleasant,197,1383950.91,999000.0,309000.0,6999000.0,1009199.39,2.11,1.9,1107.76,49.27,-123.1
Downtown,874,1367827.48,988000.0,350000.0,7398000.0,1124442.13,1.7,1.72,997.45,49.28,-123.12
Killarney,122,1198529.22,947000.0,449000.0,3000000.0,604251.3,2.8,2.25,1329.01,49.21,-123.04
Strathcona,48,1058906.21,848500.0,489800.0,3100000.0,543034.44,2.04,1.83,1036.6,49.28,-123.09
